,PC1,PC2,PC3,Cluster,Index,AppID,Name,Release date,Peak CCU,Price,DLC count,Header image,Website,Metacritic score,Positive,Negative,Average playtime forever,Average playtime two weeks,Median playtime forever,Median playtime two weeks,Developers,Publishers,Genres,Owners range low,Owners range high,Positive rate,Main developer,Main publisher,dev_counts,pub_counts,Action,Indie,Adventure,Strategy,RPG,Simulation,Casual,Early Access,Free to Play,Massively Multiplayer,Sports,Racing,Utilities,Design & Illustration,Animation & Modeling,Video Production,Web Publishing,Audio Production,Photo Editing,Software Training,Game Development,Education
2904,4.210630109231058,0.9862522761654398,3.1146909935190017,1,2904,1257290,Atelier Ryza 2: Lost Legends & the Secret Fairy,"Jan 25, 2021",59,59.99,15,https://cdn.akamai.steamstatic.com/steam/apps/1257290/header.jpg?t=1649388605,https://www.koeitecmoamerica.com/ryza2/,84,1872,161,2066,0,2066,0,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",RPG,50000,100000,0.9208066896212493,KOEI TECMO GAMES CO.,KOEI TECMO GAMES CO.,30,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2905,0.9605449133210184,4.843142517397457,4.577895790079995,3,2905,422900,Particle Fleet: Emergence,"Sep 29, 2016",59,14.99,1,https://cdn.akamai.steamstatic.com/steam/apps/422900/header.jpg?t=1590083621,http://knucklecracker.com,0,925,74,1248,0,1732,0,Knuckle Cracker,Knuckle Cracker,"Indie,Simulation,Strategy",50000,100000,0.9259259259259259,Knuckle Cracker,Knuckle Cracker,3,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2906,0.79972498132887,5.048072739577733,4.69354299378772,3,2906,514360,Freedom Fighter,"May 26, 2017",59,3.99,0,https://cdn.akamai.steamstatic.com/steam/apps/514360/header.jpg?t=1607681831,,0,29,14,369,0,372,0,Volens Nolens Games,Volens Nolens Games,"Action,Indie",20000,50000,0.6744186046511628,Volens Nolens Games,Volens Nolens Games,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2907,4.324315705741565,0.27865870078902155,0.8579963097853232,3,2907,502570,Houdini Indie,"Oct 10, 2018",59,269.99,0,https://cdn.akamai.steamstatic.com/steam/apps/502570/header.jpg?t=1569869236,http://www.sidefx.com,0,141,7,0,0,0,0,SideFX,SideFX,"Animation & Modeling,Design & Illustration,Video Production,Game Development",0,20000,0.9527027027027027,SideFX,SideFX,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
2908,0.7243307505962524,5.159732550620781,4.800360058377446,3,2908,568320,Pictopix,"Jan 5, 2017",59,6.99,0,https://cdn.akamai.steamstatic.com/steam/apps/568320/header.jpg?t=1646485558,http://pictopix.tomlabgames.com/,0,873,28,205,0,205,0,Tomlab Games,Tomlab Games,"Casual,Indie,Strategy",50000,100000,0.9689234184239733,Tomlab Games,Tomlab Games,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2909,1.6286875208529787,4.245492503888727,4.46725693748135,1,2909,357310,Oriental Empires,"Sep 14, 2017",59,29.99,2,https://cdn.akamai.steamstatic.com/steam/apps/357310/header.jpg?t=1599046752,http://www.orientalempires.com,74,2207,537,214,0,327,0,Shining Pixel Studios,Iceberg Interactive,"Indie,Simulation,Strategy",50000,100000,0.8043002915451894,Shining Pixel Studios,Iceberg Interactive,1,6,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2910,1.6388232583906903,4.310244286307564,4.757451373431627,1,2910,397060,Faeria,"Mar 8, 2017",58,19.99,9,https://cdn.akamai.steamstatic.com/steam/apps/397060/header.jpg?t=1628277473,https://www.faeria.com,81,5649,1097,483,0,98,0,Abrakam Entertainment SA,Versus Evil,"Adventure,Indie,Massively Multiplayer,RPG,Strategy",500000,1000000,0.8373851171064335,Abrakam Entertainment SA,Versus Evil,2,4,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2911,0.815829471966941,5.037494665178776,4.62977454154675,3,2911,367270,Angels Fall First,"Oct 1, 2015",58,17.99,1,https://cdn.akamai.steamstatic.com/steam/apps/367270/header.jpg?t=1656426998,http://www.strangelyinteractive.com,0,1966,445,127,0,184,0,Strangely Interactive Ltd,Strangely Interactive Ltd,"Action,Indie,Simulation,Early Access",50000,100000,0.8154292824554127,Strangely Interactive Ltd,Strangely Interactive Ltd,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2912,0.7192816402545081,5.139813591099055,4.726895958691549,3,2912,415960,Energy Cycle,"Jan 13, 2016",58,2.99,2,https://cdn.akamai.steamstatic.com/steam/apps/415960/header.jpg?t=1573339122,http://www.sometimesyou.com,0,188,77,234,0,235,0,Sometimes You,Sometimes You,"Casual,Indie",200000,500000,0.7094339622641509,Sometimes You,Sometimes You,2,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2913,0.7412292221424517,5.099195804026031,4.680014866162181,3,2913,576770,Low Magic Age,"Jan 10, 2017",58,14.99,0,https://cdn.akamai.steamstatic.com/steam/apps/576770/header.jpg?t=1657002577,http://www.lowmagicage.com,0,2370,235,307,0,305,0,Low Magic Studios,Low Magic Studios,"Adventure,Casual,Indie,RPG,Strategy,Early Access",100000,200000,0.9097888675623801,Low Magic Studios,Low Magic Studios,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2914,0.561698826691807,5.390190725559801,4.88235415273615,3,2914,524970,Helmet Heroes,"Oct 3, 2016",58,0.0,0,https://cdn.akamai.steamstatic.com/steam/apps/524970/header.jpg?t=1481899883,https://www.helmet-heroes.com/,0,474,428,1324,0,1404,0,Helmet Games,Helmet Games,"Action,Adventure,Free to Play,Massively Multiplayer,RPG",200000,500000,0.5254988913525499,Helmet Games,Helmet Games,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2915,3.6647293440361306,4.399959529771375,3.422973645222683,3,2915,1038250,DIRT 5,"Nov 5, 2020",58,59.99,8,https://cdn.akamai.steamstatic.com/steam/apps/1038250/header.jpg?t=1632995136,https://dirtgame.com/dirt5,72,2741,2507,859,1133,1042,1133,Codemasters,"Codemasters,Electronic Arts","Action,Adventure,Casual,Racing,Sports",100000,200000,0.5222942073170732,Codemasters,Codemasters,9,9,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2916,1.4398187828266495,4.318254095130621,4.271777955735578,3,2916,1961950,CHAOS;HEAD NOAH,"Oct 7, 2022",58,24.99,1,https://cdn.akamai.steamstatic.com/steam/apps/1961950/header.jpg?t=1665194919,,0,59,8,0,0,0,0,MAGES. Inc.,"Spike Chunsoft Co., Ltd.",Adventure,0,20000,0.8805970149253731,MAGES. Inc.,Spike Chunsoft Co.,3,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2917,2.8631410910523174,2.3810905483786557,3.466329049626061,1,2917,628100,NOBUNAGA’S AMBITION: Shouseiroku with Power Up Kit,"Jul 25, 2017",58,19.99,0,https://cdn.akamai.steamstatic.com/steam/apps/628100/header.jpg?t=1650591360,https://www.gamecity.ne.jp/shibusawa-kou/archives.html,0,20,8,0,0,0,0,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",Strategy,0,20000,0.7142857142857143,KOEI TECMO GAMES CO.,KOEI TECMO GAMES CO.,30,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2918,0.7703472055769442,5.0667131700861265,4.621583505250007,3,2918,957660,Catizens,"Aug 17, 2022",58,15.99,0,https://cdn.akamai.steamstatic.com/steam/apps/957660/header.jpg?t=1660757767,https://www.catizens.net/,0,97,11,0,0,0,0,badopticsgames,HeroCraft PC,"Indie,Simulation,Strategy,Early Access",0,20000,0.8981481481481481,badopticsgames,HeroCraft PC,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2919,0.619119383907976,5.288533128551237,4.870889205273726,3,2919,1187510,Rock Simulator,"Nov 27, 2019",58,1.99,1,https://cdn.akamai.steamstatic.com/steam/apps/1187510/header.jpg?t=1607981942,,0,725,41,0,0,0,0,Vinoo,Vinoo,"Casual,Indie,Simulation",0,20000,0.9464751958224543,Vinoo,Vinoo,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2920,1.8300741240884388,5.477118112095562,4.41092198235127,3,2920,504210,SHENZHEN I/O,"Nov 17, 2016",58,14.99,0,https://cdn.akamai.steamstatic.com/steam/apps/504210/header.jpg?t=1618420445,http://www.zachtronics.com/shenzhen-io/,0,3217,162,311,697,421,697,Zachtronics,Zachtronics,"Indie,Simulation",200000,500000,0.9520568215448357,Zachtronics,Zachtronics,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2921,0.7832438816206697,5.073920402050233,4.6975374690388145,3,2921,645720,Fabular: Once Upon a Spacetime,"Nov 10, 2022",58,13.49,0,https://cdn.akamai.steamstatic.com/steam/apps/645720/header.jpg?t=1668098121,http://fabulargame.com,0,34,8,0,0,0,0,Spiritus Games,"Prismatika,East2West Games","Action,Adventure,Indie,RPG,Early Access",20000,50000,0.8095238095238095,Spiritus Games,Prismatika,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2922,1.4516841577644102,4.5454642213104135,4.920297205383211,1,2922,435400,Hidden Folks,"Feb 15, 2017",58,12.99,1,https://cdn.akamai.steamstatic.com/steam/apps/435400/header.jpg?t=1591272200,https://hiddenfolks.com,78,7814,268,318,0,186,0,"Adriaan de Jongh,Sylvain Tegroeg",Adriaan de Jongh,"Adventure,Casual,Indie",200000,500000,0.9668398911160604,Adriaan de Jongh,Adriaan de Jongh,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
